"Daily Weather Observations for Canberra, Australian Capital Territory for December 2017"
"Prepared at 13:01 UTC on Wednesday  8 August 2018   IDCJDW2801.201712"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-12-1,15.0,30.6,0,,,NW,56,14:50,23.6,61,1,NW,20,1014.5,27.5,45,7,NW,30,1009.2
,2017-12-2,17.7,19.6,35.2,,,NNW,65,10:58,17.8,99,8,N,20,1004.6,16.0,88,8,NNW,28,1003.3
,2017-12-3,12.2,19.9,18.4,,,NW,48,15:13,13.8,85,8,NNW,24,1005.7,19.3,61,1,NW,31,1006.1
,2017-12-4,10.7,15.7,0.2,,,S,28,12:22,11.4,90,8,SSW,15,1011.2,12.4,87,8,SSE,17,1010.2
,2017-12-5,11.4,20.0,6.6,,,SE,46,13:04,15.5,70,8,SSE,22,1008.6,17.6,58,8,SE,28,1005.9
,2017-12-6,11.9,20.2,5.2,,,WNW,50,14:04,15.3,67,8,SSW,13,1002.7,17.8,63,8,WNW,28,1000.3
,2017-12-7,8.7,26.7,0.2,,,WNW,54,10:24,18.5,56,,NW,7,1005.3,25.4,31,4,WNW,31,1003.9
,2017-12-8,12.0,22.5,6.2,,,W,48,23:48,16.0,68,6,W,15,1009.6,21.4,32,,NW,17,1010.3
,2017-12-9,7.8,25.0,0,,,N,33,13:16,15.2,66,2,NNW,6,1018.7,23.8,36,1,N,20,1016.4
,2017-12-10,10.9,28.0,0,,,N,35,10:59,17.7,69,,S,6,1021.8,26.8,37,,N,17,1018.4
,2017-12-11,12.0,29.7,0,,,E,43,18:05,20.3,66,,WSW,4,1019.7,28.8,31,,NW,20,1015.4
,2017-12-12,16.4,30.6,0,,,N,46,14:09,20.6,61,,E,7,1018.3,29.4,33,,NNW,17,1013.9
,2017-12-13,12.5,32.7,0,,,WNW,41,14:27,21.2,67,,ENE,6,1014.2,31.9,20,,W,22,1010.2
,2017-12-14,13.6,32.9,0,,,NNW,56,12:41,25.8,46,4,NNW,9,1009.1,32.5,30,7,NW,20,1006.8
,2017-12-15,17.9,30.5,3.2,,,N,46,20:01,19.2,85,8,NE,7,1013.0,28.8,45,8,NNW,20,1009.8
,2017-12-16,14.1,32.6,0,,,NW,46,17:28,24.0,57,,WNW,6,1014.2,31.1,31,8,W,19,1011.8
,2017-12-17,16.3,31.6,1.6,,,ENE,50,17:08,20.6,68,1,ENE,15,1017.0,30.1,42,1,NW,11,1013.3
,2017-12-18,16.4,32.6,0.2,,,WNW,39,12:40,20.5,75,1,NNE,7,1013.7,29.6,43,1,WNW,19,1009.2
,2017-12-19,18.0,34.3,0,,,N,43,11:51,25.2,47,7,S,7,1009.2,33.2,34,,NW,22,1004.9
,2017-12-20,22.8,27.5,0.2,,,NW,52,08:47,26.3,51,8,WNW,17,1006.3,18.6,80,8,N,15,1010.5
,2017-12-21,9.4,26.7,1.6,,,,,,17.9,69,,W,7,1017.6,24.5,44,8,N,13,1015.3
,2017-12-22,12.5,29.5,0,,,WNW,31,15:23,19.4,69,8,WSW,6,1016.4,27.4,32,8,W,15,1012.1
,2017-12-23,11.9,31.8,0,,,WNW,39,13:35,20.4,72,,NNE,6,1012.6,30.1,16,1,NW,20,1009.0
,2017-12-24,13.2,34.8,0,,,ENE,57,18:12,20.6,47,7,SSE,9,1008.5,34.0,14,3,NW,31,1005.8
,2017-12-25,13.4,23.0,0,,,ESE,39,16:29,15.0,66,8,ESE,15,1015.5,21.9,47,6,ESE,22,1014.7
,2017-12-26,10.8,22.4,0,,,E,39,16:05,18.3,57,3,E,20,1018.7,21.8,48,8,E,24,1016.6
,2017-12-27,15.8,29.1,0,,,NE,33,19:15,18.9,68,8,N,7,1018.1,26.4,37,1,NNW,13,1013.9
,2017-12-28,12.9,32.4,0,,,NW,37,09:55,20.1,70,1,NW,7,1016.1,32.4,31,1,NNW,20,1013.1
,2017-12-29,18.3,33.4,0,,,NW,46,12:45,24.7,56,7,SW,9,1013.3,31.3,33,8,W,26,1008.8
,2017-12-30,18.6,28.3,16.4,,,WNW,50,12:57,22.8,70,6,NW,28,1005.0,27.8,33,,WNW,30,1004.3
,2017-12-31,14.9,27.9,0,,,NNW,37,14:52,19.7,65,,NE,19,1010.8,26.2,37,1,NNW,17,1007.4
