Minimum.temperature.C.,Maximum.temperature.C.,Rainfall.mm.,Speed.of.maximum.wind.gust.km.h.,X9am.Temperature.C.,X9am.relative.humidity.,X9am.cloud.amount.oktas.,X9am.wind.speed.km.h.,X9am.MSL.pressure.hPa.,X3pm.Temperature.C.,X3pm.relative.humidity.,X3pm.cloud.amount.oktas.,X3pm.wind.speed.km.h.,X3pm.MSL.pressure.hPa.,Season,Rain.tomorrow
-2.3,13.8,0,28,4.4,80,0,13,1027.3,13.2,39,0,11,1022.1,4,1
-1.7,12.4,0,41,4.6,86,7,11,1020.9,11.2,71,8,26,1012.5,4,2
4.6,9.5,17.8,50,6.8,94,8,24,1009.7,8.5,69,1,31,1009.2,4,2
5,10.8,1.4,59,6.6,79,8,30,1013.1,10.2,57,5,33,1011.9,4,1
4.6,13.8,0,67,8.6,65,0,26,1013.2,12.6,48,8,37,1008.5,4,2
4.6,10,3,63,5.7,87,8,35,1008.9,5.5,88,8,28,1009,4,2
1.5,13.1,2.2,44,6.2,71,0,9,1019.1,11.1,48,0,31,1018.5,4,1
3.5,16.1,0,33,8.9,72,0,20,1024.1,14.7,53,0,22,1020.8,4,1
0.1,16.6,0,54,9.4,84,0,4,1020.1,15.4,46,0,35,1014.2,4,1
8.3,15.9,0,57,12.1,48,6,20,1015.7,14.3,39,0,31,1015.6,4,1
5.6,15.1,0,56,11,53,0,22,1019.6,13.7,54,0,33,1019.1,4,1
1.6,16.4,0,37,6.2,90,6,13,1024.7,15.6,43,0,24,1021,4,1
-0.4,19.2,0,37,6.6,75,0,2,1021.7,18.4,35,0,28,1016.3,4,1
0.5,17.6,0,57,6.5,89,8,7,1015.1,16,63,8,20,1008.7,4,2
6.4,13.9,5.2,59,10,88,8,17,1001.4,11.7,49,1,33,1004.5,4,1
5.6,14.9,0,76,10.1,64,4,33,1009.1,14.2,42,3,46,1005.3,4,2
3.8,9.7,3.6,65,6.6,70,0,37,1008.8,7.9,64,0,37,1009.4,4,1
-3.1,11.2,0,44,6.3,57,0,9,1020,10.4,34,1,28,1020.6,4,2
-3,13.2,0.2,24,5.1,63,0,9,1025.9,12.8,34,0,11,1021.5,4,1
1.6,13.1,0,35,5.5,87,8,7,1019,10.2,51,7,24,1016.2,4,1
-2.7,16.5,0,26,5.3,78,0,0,1021,16.2,32,0,11,1018.6,4,1
-3.2,16.3,0,35,4.5,81,0,0,1021.5,15.4,37,0,20,1017.8,4,1
-2.6,14,0,30,3.9,81,8,2,1020.1,13.2,43,5,15,1018.5,4,1
-5.1,14.8,0,24,5.8,73,0,0,1027.4,14,28,0,9,1024.4,4,1
-3,15.7,0,35,3.6,95,8,7,1025.9,15.6,36,0,22,1020.9,4,1
-2.7,10.7,0,48,5.8,67,4,9,1017.3,4.3,79,8,22,1016.8,4,2
-2.4,12.4,2.4,39,6,58,0,30,1021.9,12,32,0,15,1019.9,4,1
-2.1,13,0,37,5.4,66,0,7,1023.8,12.4,40,1,20,1020.5,4,1
-5.3,15,0,35,3.6,74,0,6,1024.4,14.1,38,0,15,1022.2,4,1
-1.2,13.8,0,39,6.1,58,0,17,1030.7,12.9,37,0,20,1026.6,4,1
-4.7,15,0,28,4.7,71,0,6,1027.7,14.2,36,0,13,1021.5,2,1
-3.9,18,0,39,5.1,76,0,0,1022.4,17.7,34,3,19,1018.7,2,1
1,23.5,0,69,8.7,76,8,9,1012.4,21.7,26,4,33,1003.7,2,1
5.5,12.8,0,72,10.5,55,0,33,1009,7.6,76,7,26,1007.4,2,2
2.4,9.6,1.6,65,5.6,73,8,37,1010.3,7.6,62,8,43,1009.6,2,2
3.4,10,2.8,44,7.1,64,1,30,1014,8.8,61,8,24,1014.8,2,2
4.8,13,0.6,46,9.6,67,8,20,1019.1,11.1,50,1,33,1017.4,2,1
5.3,13.8,0,44,9.6,61,8,22,1017.9,12.5,39,0,35,1016.7,2,1
0.6,14.7,0,33,8.3,57,0,7,1022.3,12.6,49,7,19,1020.8,2,1
-3.2,16.9,0,30,7.2,72,0,6,1023.6,15.9,35,0,20,1019.9,2,1
-2.4,19.9,0,35,7.3,71,0,6,1020.6,18.4,40,4,19,1016.8,2,1
