Date,Minimum.temperature.C.,Maximum.temperature.C.,Rainfall.mm.,Direction.of.maximum.wind.gust,Speed.of.maximum.wind.gust.km.h.,Time.of.maximum.wind.gust,X9am.Temperature.C.,X9am.relative.humidity.,X9am.cloud.amount.oktas.,X9am.wind.direction,X9am.wind.speed.km.h.,X9am.MSL.pressure.hPa.,X3pm.Temperature.C.,X3pm.relative.humidity.,X3pm.cloud.amount.oktas.,X3pm.wind.direction,X3pm.wind.speed.km.h.,X3pm.MSL.pressure.hPa.,Season,Change24HrRelativeHumidity,Change24HrMSLpressurehPa,Change24HrCloudAmountOktas,SkyDivingWeatherTomorrow,Rain.tomorrow
02/08/2017,-2.3,13.8,0,E,28,16:19:00,4.4,80,0,SE,13,1027.3,13.2,39,0,SE,11,1022.1,Winter,-14,-2.300000000000068,0,TRUE,FALSE
03/08/2017,-1.7,12.4,0,ENE,41,11:28:00,4.6,86,7,ESE,11,1020.9,11.2,71,8,E,26,1012.5,Winter,32,-9.600000000000023,8,FALSE,TRUE
04/08/2017,4.6,9.5,17.8,WNW,50,14:53:00,6.8,94,8,NNW,24,1009.7,8.5,69,1,WNW,31,1009.2,Winter,-2,-3.2999999999999545,-7,FALSE,TRUE
05/08/2017,5,10.8,1.4,NW,59,12:28:00,6.6,79,8,NW,30,1013.1,10.2,57,5,NW,33,1011.9,Winter,-12,2.699999999999932,4,TRUE,FALSE
06/08/2017,4.6,13.8,0,NW,67,18:18:00,8.6,65,0,NW,26,1013.2,12.6,48,8,NNW,37,1008.5,Winter,-9,-3.3999999999999773,3,FALSE,TRUE
07/08/2017,4.6,10,3,NW,63,13:46:00,5.7,87,8,NNW,35,1008.9,5.5,88,8,NNW,28,1009,Winter,40,0.5,0,FALSE,TRUE
08/08/2017,1.5,13.1,2.2,WNW,44,15:21:00,6.2,71,0,NW,9,1019.1,11.1,48,0,W,31,1018.5,Winter,-40,9.5,-8,TRUE,FALSE
09/08/2017,3.5,16.1,0,N,33,02:39:00,8.9,72,0,NW,20,1024.1,14.7,53,0,N,22,1020.8,Winter,5,2.2999999999999545,0,FALSE,FALSE
10/08/2017,0.1,16.6,0,NNW,54,14:47:00,9.4,84,0,W,4,1020.1,15.4,46,0,NNW,35,1014.2,Winter,-7,-6.599999999999909,0,FALSE,FALSE
11/08/2017,8.3,15.9,0,WNW,57,12:42:00,12.1,48,6,NW,20,1015.7,14.3,39,0,WNW,31,1015.6,Winter,-7,1.3999999999999773,0,FALSE,FALSE
12/08/2017,5.6,15.1,0,NW,56,12:44:00,11,53,0,WNW,22,1019.6,13.7,54,0,NW,33,1019.1,Winter,15,3.5,0,TRUE,FALSE
13/08/2017,1.6,16.4,0,NW,37,00:03:00,6.2,90,6,SE,13,1024.7,15.6,43,0,NW,24,1021,Winter,-11,1.8999999999999773,0,TRUE,FALSE
14/08/2017,-0.4,19.2,0,NW,37,14:40:00,6.6,75,0,ESE,2,1021.7,18.4,35,0,W,28,1016.3,Winter,-8,-4.7000000000000455,0,FALSE,FALSE
15/08/2017,0.5,17.6,0,NNW,57,12:43:00,6.5,89,8,SSW,7,1015.1,16,63,8,NNW,20,1008.7,Winter,28,-7.599999999999909,8,FALSE,TRUE
16/08/2017,6.4,13.9,5.2,WNW,59,12:51:00,10,88,8,WNW,17,1001.4,11.7,49,1,WNW,33,1004.5,Winter,-14,-4.2000000000000455,-7,FALSE,FALSE
17/08/2017,5.6,14.9,0,WNW,76,14:48:00,10.1,64,4,NW,33,1009.1,14.2,42,3,WNW,46,1005.3,Winter,-7,0.7999999999999545,2,FALSE,TRUE
18/08/2017,3.8,9.7,3.6,W,65,11:16:00,6.6,70,0,WNW,37,1008.8,7.9,64,0,WNW,37,1009.4,Winter,22,4.100000000000023,-3,FALSE,FALSE
19/08/2017,-3.1,11.2,0,SSE,44,09:07:00,6.3,57,0,SSW,9,1020,10.4,34,1,S,28,1020.6,Winter,-30,11.200000000000045,1,FALSE,FALSE
20/08/2017,-3,13.2,0.2,S,24,01:34:00,5.1,63,0,SE,9,1025.9,12.8,34,0,N,11,1021.5,Winter,0,0.8999999999999773,-1,FALSE,FALSE
21/08/2017,1.6,13.1,0,NNW,35,13:57:00,5.5,87,8,SSW,7,1019,10.2,51,7,NW,24,1016.2,Winter,17,-5.2999999999999545,7,TRUE,FALSE
